region,GDP per capita (constant 2015 US$)
Argentina,9257.895572
Argentina,9628.037838
Argentina,9630.010366
Argentina,9739.416271
Argentina,10105.04951
Argentina,9935.938635
Argentina,9581.841403
Argentina,10083.81518
Argentina,9476.063436
Argentina,10278.92462
Argentina,10270.95612
Argentina,9585.206772
Argentina,9366.17038
Argentina,9622.347319
Argentina,9624.404556
Argentina,8987.933706
Argentina,9397.883608
Argentina,9507.339813
Argentina,9262.963927
Argentina,8473.026569
Argentina,8144.494294
Argentina,8762.661384
Argentina,9327.859451
Argentina,9957.256522
Argentina,10397.37929
Argentina,9969.331576
Argentina,10388.53871
Argentina,11097.38206
Argentina,11391.94516
Argentina,10880.20621
Argentina,10672.72204
Argentina,10090.65344
Argentina,8895.319642
Argentina,9581.969792
Argentina,10341.64341
Argentina,11141.31067
Argentina,11913.95853
Argentina,12857.09258
Argentina,13246.63489
Argentina,12336.86194
Argentina,13551.33919
Argentina,14200.26989
Argentina,13895.63371
Argentina,14071.50868
Argentina,13567.94842
Argentina,13789.06042
Argentina,13360.21183
Argentina,13595.03736
Argentina,13105.39716
Argentina,12716.2242
Argentina,11341.26837
Argentina,12402.49079
Armenia,1641.983169
Armenia,1425.386762
Armenia,839.5720422
Armenia,791.6470077
Armenia,855.0810535
Armenia,928.0925102
Armenia,989.6423577
Armenia,1031.098274
Armenia,1116.907209
Armenia,1166.187979
Armenia,1249.612148
Armenia,1385.044814
Armenia,1582.057645
Armenia,1815.788251
Armenia,2018.46017
Armenia,2312.982895
Armenia,2636.256687
Armenia,3019.465605
Armenia,3250.498659
Armenia,2810.192882
Armenia,2889.56627
Armenia,3043.262831
Armenia,3278.670496
Armenia,3402.083904
Armenia,3538.529444
Armenia,3666.141876
Armenia,3689.830136
Armenia,3985.916757
Armenia,4215.899456
Armenia,4561.967866
Armenia,4256.13129
Armenia,4522.319107
Aruba,15221.85068
Aruba,17697.52345
Aruba,21036.38745
Aruba,23491.66468
Aruba,24007.49571
Aruba,25097.27211
Aruba,25692.23846
Aruba,26743.7228
Aruba,28027.51564
Aruba,27868.54308
Aruba,27358.54212
Aruba,28413.14401
Aruba,28121.31558
Aruba,27646.19565
Aruba,29005.93337
Aruba,29693.13991
Aruba,29059.48651
Aruba,29093.57824
Aruba,30931.9365
Aruba,30505.33919
Aruba,30490.36584
Aruba,31051.00157
Aruba,31230.19304
Aruba,27243.3332
Aruba,26200.7273
Aruba,26829.63448
Aruba,26337.58506
Aruba,27821.7916
Aruba,27624.3773
Aruba,28421.38649
Aruba,28852.23707
Aruba,30270.9416
Aruba,31705.27905
Aruba,31762.73403
Aruba,25823.63482
Aruba,30271.83347
Australia,19948.55217
Australia,20041.04773
Australia,19811.03668
Australia,20642.80034
Australia,21654.5447
Australia,22504.21271
Australia,22519.5201
Australia,23639.08163
Australia,24408.83313
Australia,25587.38426
Australia,26888.50613
Australia,27034.81982
Australia,27580.30379
Australia,27873.32941
Australia,28292.78614
Australia,28320.03793
Australia,28763.33022
Australia,29463.48972
Australia,29382.95825
Australia,30244.37009
Australia,30784.91792
Australia,31319.9852
Australia,31805.10159
Australia,30674.91163
Australia,31700.55103
